threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,true_negative,false_positive,false_negative,true_positive,model_id,feature_set,class_weight,feature_count
0.41,0.6395961369622476,0.6386273914363803,0.823091976516634,0.71922024623803,0.608078260373917,0.25321956727406775,811,1190,452,2103,ann_raw_99_balanced,raw_99,balanced,99
0.42,0.6400351185250219,0.6391000304043782,0.8227005870841487,0.7193702943189596,0.608767154503421,0.25420033725134206,814,1187,453,2102,ann_raw_99_balanced,raw_99,balanced,99
0.43,0.6398156277436348,0.6391595615103532,0.8215264187866927,0.7189587258092139,0.6087919201914997,0.2537000621484798,816,1185,456,2099,ann_raw_99_balanced,raw_99,balanced,99
0.44,0.6406935908691835,0.6400244051250763,0.8211350293542075,0.7193553917366706,0.6100589096530258,0.2556633815238893,821,1180,457,2098,ann_raw_99_balanced,raw_99,balanced,99
0.45,0.6406935908691835,0.6401954795357361,0.8203522504892368,0.7191628066563733,0.6102667520945588,0.25565929256579784,823,1178,459,2096,ann_raw_99_balanced,raw_99,balanced,99
0.46,0.6406935908691835,0.6403669724770642,0.8195694716242662,0.7189699570815451,0.610473722075911,0.25565641513826026,825,1176,461,2094,ann_raw_99_balanced,raw_99,balanced,99
0.47,0.6411325724319579,0.6408450704225352,0.8191780821917808,0.7191204260436351,0.6111554728212707,0.2566364038897926,828,1173,462,2093,ann_raw_99_balanced,raw_99,balanced,99
0.48,0.6411325724319579,0.6409313725490197,0.8187866927592955,0.7190238872658532,0.6112580717835492,0.2566355574947879,829,1172,463,2092,ann_raw_99_balanced,raw_99,balanced,99
0.49,0.641352063213345,0.641214351425943,0.8183953033268102,0.719050894085282,0.611649233450408,0.25712510822190765,831,1170,464,2091,ann_raw_99_balanced,raw_99,balanced,99
0.5,0.6409130816505707,0.6409941699907947,0.8176125244618395,0.718610251117991,0.6112760170083588,0.25614472314772857,831,1170,466,2089,ann_raw_99_balanced,raw_99,balanced,99
0.51,0.6417910447761194,0.6418690439594221,0.8172211350293542,0.71900826446281,0.6125307666139715,0.25810429888652764,836,1165,467,2088,ann_raw_99_balanced,raw_99,balanced,99
0.52,0.6417910447761194,0.6418690439594221,0.8172211350293542,0.71900826446281,0.6125307666139715,0.25810429888652764,836,1165,467,2088,ann_raw_99_balanced,raw_99,balanced,99
0.53,0.642449517120281,0.6425492610837439,0.8168297455968689,0.7192831294158194,0.613494692541092,0.25957226694145463,840,1161,468,2087,ann_raw_99_balanced,raw_99,balanced,99
0.54,0.6426690079016681,0.6428351309707242,0.8164383561643835,0.7193103448275862,0.6138822255538897,0.26006156807932485,842,1159,469,2086,ann_raw_99_balanced,raw_99,balanced,99
0.55,0.6431079894644425,0.6433199629743906,0.8160469667318982,0.7194616977225673,0.6145559393317299,0.26103931859627455,845,1156,470,2085,ann_raw_99_balanced,raw_99,balanced,99
0.56,0.6431079894644425,0.6434970651838122,0.8152641878669276,0.7192679558011049,0.6147544598282633,0.2610413464573169,847,1154,472,2083,ann_raw_99_balanced,raw_99,balanced,99
0.57,0.6435469710272168,0.6438948995363215,0.8152641878669276,0.7195164075993091,0.615327138176536,0.26201751654942934,849,1152,472,2083,ann_raw_99_balanced,raw_99,balanced,99
0.58,0.6442054433713784,0.6444925742574258,0.8152641878669276,0.7198894072922066,0.6161853051498627,0.2634806921862677,852,1149,472,2083,ann_raw_99_balanced,raw_99,balanced,99
0.59,0.6444249341527656,0.6448713975828944,0.814481409001957,0.7198201314424074,0.6166668224779605,0.2639705155200872,855,1146,474,2081,ann_raw_99_balanced,raw_99,balanced,99
0.6,0.6450834064969271,0.6454714640198511,0.814481409001957,0.7201938051566015,0.6175226451525582,0.2654315822251153,858,1143,474,2081,ann_raw_99_balanced,raw_99,balanced,99
0.61,0.6457418788410887,0.6460726482458864,0.814481409001957,0.7205678670360111,0.6183774586978616,0.26689139082941427,861,1140,474,2081,ann_raw_99_balanced,raw_99,balanced,99
0.62,0.6455223880597015,0.6459627329192547,0.8140900195694716,0.7203463203463204,0.6181893423727407,0.26640623692788484,861,1140,475,2080,ann_raw_99_balanced,raw_99,balanced,99
0.63,0.6457418788410887,0.6463452566096423,0.813307240704501,0.7202772963604853,0.6186664758283575,0.2668960218614543,864,1137,477,2078,ann_raw_99_balanced,raw_99,balanced,99
0.64,0.6455223880597015,0.6462352209085253,0.8129158512720157,0.720055468885422,0.6184782280113619,0.2664119487921588,864,1137,478,2077,ann_raw_99_balanced,raw_99,balanced,99
0.65,0.6459613696224759,0.6468204488778054,0.812133072407045,0.7201110532708659,0.6192373719623963,0.2673892703475515,868,1133,480,2075,ann_raw_99_balanced,raw_99,balanced,99
0.66,0.647278314310799,0.648125,0.8117416829745597,0.7207645525629887,0.6210316656172108,0.27030476224261135,875,1126,481,2074,ann_raw_99_balanced,raw_99,balanced,99
0.67,0.647278314310799,0.648125,0.8117416829745597,0.7207645525629887,0.6210316656172108,0.27030476224261135,875,1126,481,2074,ann_raw_99_balanced,raw_99,balanced,99
0.68,0.647278314310799,0.6483103879849812,0.810958904109589,0.7205703355938098,0.6212194135570953,0.27031085601541205,877,1124,483,2072,ann_raw_99_balanced,raw_99,balanced,99
0.69,0.6474978050921861,0.6485133020344288,0.810958904109589,0.7206956521739131,0.6215019010423402,0.27079570046684137,878,1123,483,2072,ann_raw_99_balanced,raw_99,balanced,99
0.7,0.6474978050921861,0.6485133020344288,0.810958904109589,0.7206956521739131,0.6215019010423402,0.27079570046684137,878,1123,483,2072,ann_raw_99_balanced,raw_99,balanced,99
0.71,0.6479367866549605,0.6491998744901161,0.8097847358121331,0.7206548241031,0.6223452162058527,0.2717758425787035,883,1118,486,2069,ann_raw_99_balanced,raw_99,balanced,99
0.72,0.6485952589991221,0.6498115577889447,0.8097847358121331,0.7210315385955741,0.6231899465880331,0.2732283344387261,886,1115,486,2069,ann_raw_99_balanced,raw_99,balanced,99
0.73,0.6485952589991221,0.65,0.8090019569471625,0.7208369659982563,0.6233737687557168,0.27323670895671975,888,1113,488,2067,ann_raw_99_balanced,raw_99,balanced,99
0.74,0.6494732221246707,0.6508186397984886,0.8090019569471625,0.7213400802652242,0.6244973101710622,0.27517118351310615,892,1109,488,2067,ann_raw_99_balanced,raw_99,balanced,99
0.75,0.6499122036874452,0.6513240857503153,0.8086105675146771,0.7214946743495722,0.6251491097006354,0.276141999337004,895,1106,489,2066,ann_raw_99_balanced,raw_99,balanced,99
0.76,0.6492537313432836,0.6509940044177974,0.8074363992172211,0.7208245981830887,0.6245799496228313,0.27470739460061006,895,1106,492,2063,ann_raw_99_balanced,raw_99,balanced,99
0.77,0.6490342405618964,0.6509791535060012,0.8066536203522505,0.7205034084950184,0.624480545297347,0.27423570729708,896,1105,494,2061,ann_raw_99_balanced,raw_99,balanced,99
0.78,0.6483757682177349,0.6508388730610953,0.8046966731898239,0.7196359817990899,0.6240910927241476,0.27282016115371316,898,1103,499,2056,ann_raw_99_balanced,raw_99,balanced,99
0.79,0.6488147497805092,0.6513470681458003,0.8043052837573386,0.7197898423817863,0.6247391304795469,0.27379453728361725,901,1100,500,2055,ann_raw_99_balanced,raw_99,balanced,99
0.8,0.6492537313432836,0.6519530009526834,0.8035225048923679,0.7198457223001402,0.6254745043425584,0.2747767555008427,905,1096,502,2053,ann_raw_99_balanced,raw_99,balanced,99
0.3,0.636523266022827,0.6996890270990671,0.6164383561643836,0.6554307116104869,0.6354255276584715,0.27655927727193086,1325,676,980,1575,ann_normalized_99_none,normalized_99,none,99
0.31,0.6382791922739245,0.7027268663388466,0.6152641878669276,0.656093489148581,0.6373060038335497,0.280876350988845,1336,665,983,1572,ann_normalized_99_none,normalized_99,none,99
0.32,0.6380597014925373,0.7042380522993688,0.6113502935420744,0.6545149800963754,0.6372367479417116,0.2815080417287426,1345,656,993,1562,ann_normalized_99_none,normalized_99,none,99
0.33,0.6384986830553117,0.7061762034514079,0.6086105675146771,0.6537733865881858,0.6377936967384098,0.2833130745921668,1354,647,1000,1555,ann_normalized_99_none,normalized_99,none,99
0.34,0.6404741000877963,0.7106109324758842,0.6054794520547945,0.6538461538461539,0.6399367755532139,0.2887641493942549,1371,630,1008,1547,ann_normalized_99_none,normalized_99,none,99
0.35,0.6415715539947322,0.7142193308550185,0.6015655577299412,0.6530698958997239,0.6411773997092263,0.29248371295256453,1386,615,1018,1537,ann_normalized_99_none,normalized_99,none,99
0.36,0.642449517120281,0.7169634489222118,0.598825831702544,0.6525911708253359,0.6421445566991251,0.295363740235809,1397,604,1025,1530,ann_normalized_99_none,normalized_99,none,99
0.37,0.6453028972783144,0.7219858156028369,0.597651663405088,0.6539614561027838,0.6450806830266282,0.30231916178296653,1413,588,1028,1527,ann_normalized_99_none,normalized_99,none,99
0.38,0.6455223880597015,0.7242366412213741,0.5941291585127202,0.6527628466996345,0.6453681976156769,0.3039800153378415,1423,578,1037,1518,ann_normalized_99_none,normalized_99,none,99
0.39,0.6464003511852502,0.7269230769230769,0.5917808219178082,0.6524271844660194,0.6462940032225116,0.3067988920828858,1433,568,1043,1512,ann_normalized_99_none,normalized_99,none,99
0.4,0.646180860403863,0.7292173067574137,0.5870841487279843,0.6504770164787511,0.6461273971282644,0.30788474525314213,1444,557,1055,1500,ann_normalized_99_none,normalized_99,none,99
0.41,0.6459613696224759,0.72953216374269,0.5859099804305283,0.6498806164532234,0.6459170007904297,0.30777746781710497,1446,555,1058,1497,ann_normalized_99_none,normalized_99,none,99
0.42,0.6468393327480246,0.7318627450980392,0.5843444227005871,0.6498367791077257,0.6468134526488374,0.31037204372351657,1454,547,1062,1493,ann_normalized_99_none,normalized_99,none,99
0.43,0.6455223880597015,0.7324431256181998,0.5796477495107633,0.6471487874153375,0.6455148567727184,0.30894492773476934,1460,541,1074,1481,ann_normalized_99_none,normalized_99,none,99
0.44,0.6455223880597015,0.7338308457711443,0.5772994129158513,0.6462212486308871,0.6455210047860835,0.3097845276157262,1466,535,1080,1475,ann_normalized_99_none,normalized_99,none,99
0.45,0.647278314310799,0.7377131394182548,0.57573385518591,0.6467355462739064,0.6472774816620464,0.3144853425715714,1478,523,1084,1471,ann_normalized_99_none,normalized_99,none,99
0.46,0.6494732221246707,0.7414314516129032,0.57573385518591,0.6481603877506059,0.6494683416994884,0.31966565335525554,1488,513,1084,1471,ann_normalized_99_none,normalized_99,none,99
0.47,0.6496927129060579,0.7432775240994419,0.5733855185909981,0.6473707467962881,0.6496775234199496,0.32106254535178147,1495,506,1090,1465,ann_normalized_99_none,normalized_99,none,99
0.48,0.6503511852502195,0.745658835546476,0.5714285714285714,0.6470197208065588,0.650320036528524,0.3233658681208415,1503,498,1095,1460,ann_normalized_99_none,normalized_99,none,99
0.49,0.6507901668129938,0.7474332648870636,0.5698630136986301,0.6466799911170331,0.6507429029136912,0.32501013697052455,1509,492,1099,1456,ann_normalized_99_none,normalized_99,none,99
0.5,0.6516681299385426,0.750258531540848,0.5679060665362036,0.6464691468032969,0.6515927823568723,0.32786359150357336,1518,483,1104,1451,ann_normalized_99_none,normalized_99,none,99
0.51,0.6532045654082529,0.7540385617509119,0.5663405088062622,0.6468484577559231,0.6530921892056891,0.3321569206174034,1529,472,1108,1447,ann_normalized_99_none,normalized_99,none,99
0.52,0.6540825285338016,0.7574960547080484,0.5636007827788649,0.6463195691202872,0.6539157983058481,0.335367898728223,1540,461,1115,1440,ann_normalized_99_none,normalized_99,none,99
