threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,n_test,model_id,algorithm,algorithm_family,feature_set,class_weight,threshold_source,feature_count,train_seconds,predict_seconds
0.46,0.5392888498683055,0.6282339707536558,0.4371819960861057,0.5155781213939534,0.5381824484349973,0.10870511876701443,0.5260659298530773,0.5451663051072879,1340,661,1438,1117,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.47,0.5392888498683055,0.6299885974914481,0.4324853228962818,0.5128800185657926,0.5379307442402146,0.11030281299615265,0.5260659298530773,0.5451663051072879,1352,649,1450,1105,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.48,0.5375329236172081,0.6291810841983853,0.4270058708414873,0.5087432968057822,0.5359391375175501,0.10800738074269503,0.5260659298530773,0.5451663051072879,1358,643,1464,1091,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.49,0.5346795434591747,0.6274165202108963,0.4191780821917808,0.5025809479117785,0.5327337729249615,0.10390203802972409,0.5260659298530773,0.5451663051072879,1365,636,1484,1071,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.5,0.533801580333626,0.6277415530527564,0.41448140900195696,0.49929278642149927,0.5315765780156778,0.1034331151878221,0.5260659298530773,0.5451663051072879,1373,628,1496,1059,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.51,0.5333625987708516,0.6285200718993409,0.41056751467710373,0.4966856060606061,0.5308714446014978,0.10375132751195856,0.5260659298530773,0.5451663051072879,1381,620,1506,1049,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.52,0.5320456540825286,0.6282595512431777,0.4054794520547945,0.4928639391056137,0.529235555534877,0.10237708536657793,0.5260659298530773,0.5451663051072879,1388,613,1519,1036,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.53,0.5298507462686567,0.6267648864333947,0.3996086105675147,0.48804971319311663,0.5266953111420128,0.09915934631911723,0.5260659298530773,0.5451663051072879,1393,608,1534,1021,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.54,0.5274363476733978,0.6242274412855378,0.3953033268101761,0.4840642223819794,0.524073010158392,0.0948445734013273,0.5260659298530773,0.5451663051072879,1393,608,1545,1010,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.55,0.5239244951712028,0.620625,0.3886497064579256,0.4779783393501805,0.5202076485937911,0.08868758943093644,0.5260659298530773,0.5451663051072879,1394,607,1562,993,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.56,0.5221685689201053,0.6197718631178707,0.3827788649706458,0.4732639729010404,0.5180137900255353,0.0864984806567702,0.5260659298530773,0.5451663051072879,1401,600,1577,978,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.57,0.520632133450395,0.618986529826812,0.3776908023483366,0.46912980068060284,0.5160775053823182,0.08456189867227847,0.5260659298530773,0.5451663051072879,1407,594,1590,965,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.58,0.5186567164179104,0.6173800259403373,0.3726027397260274,0.46473029045643155,0.5137210774316057,0.08154672250285248,0.5260659298530773,0.5451663051072879,1411,590,1603,952,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.59,0.5153643546971027,0.6140696909927679,0.3655577299412916,0.45829244357212956,0.5099246173380902,0.07598690311884583,0.5260659298530773,0.5451663051072879,1414,587,1621,934,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
0.6,0.5122914837576822,0.6109260493004663,0.3589041095890411,0.4521696252465483,0.5063458885726413,0.07079817495960204,0.5260659298530773,0.5451663051072879,1417,584,1638,917,4556,logistic_regression_none__raw_99,logistic_regression,Logistic Regression,raw_99,none,external_threshold_sweep,99,0.5691,0.0062
