threshold,accuracy,precision_incorrect,recall_incorrect,f1_incorrect,macro_f1,mcc,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model_id,algorithm,class_weight,feature_set
0.44,0.8347234416154522,0.8091969800960879,0.9228962818003914,0.8623148656061437,0.8278085445241807,0.6667623518169525,0.9303931204652076,0.9526466487202077,1445,556,197,2358,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.45,0.8388937664618086,0.8151609553478713,0.9217221135029354,0.8651726671565025,0.8325318079512065,0.6747189940332622,0.9303931204652076,0.9526466487202077,1467,534,200,2355,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.46,0.8410886742756805,0.8184347826086956,0.9209393346379647,0.8666666666666667,0.8350172007966685,0.6789003901366905,0.9303931204652076,0.9526466487202077,1479,522,202,2353,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.47,0.8430640913081651,0.8212290502793296,0.9205479452054794,0.8680568370548072,0.8372236527543193,0.682719378897018,0.9303931204652076,0.9526466487202077,1489,512,203,2352,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.48,0.8437225636523266,0.8225411270563528,0.9197651663405088,0.868440502586844,0.8380040350772058,0.6839067117857355,0.9303931204652076,0.9526466487202077,1494,507,205,2350,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.49,0.8446005267778753,0.8243765367053039,0.9185909980430529,0.8689374305812662,0.8390509255332207,0.6854817617373822,0.9303931204652076,0.9526466487202077,1501,500,208,2347,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.5,0.8465759438103599,0.8274523641496119,0.9178082191780822,0.8702913341992948,0.8412697605726531,0.68927927847618,0.9303931204652076,0.9526466487202077,1512,489,210,2345,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.51,0.8470149253731343,0.8287331917905166,0.9166340508806262,0.8704701728303289,0.8418284930085711,0.6900109320757896,0.9303931204652076,0.9526466487202077,1517,484,213,2342,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.52,0.8500877963125548,0.8333333333333334,0.9158512720156555,0.8726459071415252,0.8452319959820723,0.6960074101061822,0.9303931204652076,0.9526466487202077,1533,468,215,2340,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.53,0.8505267778753293,0.8341654778887304,0.9154598825831702,0.8729240529949618,0.8457346084319333,0.6968383037768262,0.9303931204652076,0.9526466487202077,1536,465,216,2339,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.54,0.8522827041264267,0.8370343839541547,0.9146771037181997,0.8741350289882177,0.8476916844808287,0.7002490490751944,0.9303931204652076,0.9526466487202077,1546,455,218,2337,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.55,0.8531606672519754,0.8384781048097631,0.9142857142857143,0.8747425575734881,0.8486680170524561,0.7019592900343143,0.9303931204652076,0.9526466487202077,1551,450,219,2336,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.56,0.8531606672519754,0.8394528437724982,0.912720156555773,0.8745546596662291,0.8487618495473247,0.7018270175808385,0.9303931204652076,0.9526466487202077,1555,446,223,2332,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.57,0.8531606672519754,0.8396974063400576,0.9123287671232877,0.8745075970737197,0.8487851394519617,0.701795476583538,0.9303931204652076,0.9526466487202077,1556,445,224,2331,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.58,0.8544776119402985,0.8420101229211858,0.911545988258317,0.8753993610223643,0.8502557343228414,0.7043635417816712,0.9303931204652076,0.9526466487202077,1564,437,226,2329,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.59,0.8555750658472344,0.8442831215970962,0.910371819960861,0.8760828625235405,0.8515080277899134,0.7064761165215133,0.9303931204652076,0.9526466487202077,1572,429,229,2326,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.6,0.8593064091308165,0.8497807017543859,0.9099804305283757,0.8788508788508789,0.8555468736049736,0.7139330646790641,0.9303931204652076,0.9526466487202077,1590,411,230,2325,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
0.61,0.8606233538191396,0.8529411764705882,0.9080234833659491,0.8796208530805687,0.8570634888285305,0.7164851152633767,0.9303931204652076,0.9526466487202077,1601,400,235,2320,hist_gradient_boosting_none__ergonomic_v2,hist_gradient_boosting,none,ergonomic_v2
